display_ref,candidate_display_ref,hypothesis_id,candidate_id,group_id,parent_scope,path,timeframe,family,direction,state,report_status,requirement_id,parent_family_hypothesis_id,p004_status,p005_status,p005_reason,snapshot_content_sha256,unresolved_reasons
H0011,C0005,nvda-post-p005:1mo:child-families:child:3:nvda-post-p005:1mo:children:nvda-post-p005:1mo:internals:nvda-post-p005:1mo:families:nvda-post-p005:1mo:generation:THREE_SEGMENT_HYPOTHESIS:65-66-67-68:evaluate-as:FLAT:child:1:neutral-children:THREE_SEGMENT_HYPOTHESIS:0-1-2-3:evaluate-as:FLAT,nvda-post-p005:1mo:children:nvda-post-p005:1mo:internals:nvda-post-p005:1mo:families:nvda-post-p005:1mo:generation:THREE_SEGMENT_HYPOTHESIS:65-66-67-68:evaluate-as:FLAT:child:1:neutral-children:THREE_SEGMENT_HYPOTHESIS:0-1-2-3,1fcd833260d2a8f32c87dd03c79f1d2f9e98548298434412b931dba4cb1d38d7,1mo,child,1wk,FLAT,NOT_ASSIGNED,CURRENT_SUPPLIED_SCOPE_REVIEWED,,nvda-post-p005:1mo:internals:nvda-post-p005:1mo:families:nvda-post-p005:1mo:generation:THREE_SEGMENT_HYPOTHESIS:65-66-67-68:evaluate-as:FLAT:child:1,nvda-post-p005:1mo:families:nvda-post-p005:1mo:generation:THREE_SEGMENT_HYPOTHESIS:65-66-67-68:evaluate-as:FLAT,,,,b6695aa0b692a8bb16c8c76e31e16abbe78598c3fcfc9d3e34d31be7ca71dc4e,[]
H0012,C0006,nvda-post-p005:1mo:child-families:child:5:nvda-post-p005:1mo:children:nvda-post-p005:1mo:internals:nvda-post-p005:1mo:families:nvda-post-p005:1mo:generation:THREE_SEGMENT_HYPOTHESIS:66-67-68-69:evaluate-as:SINGLE_ZIGZAG:child:2:neutral-children:THREE_SEGMENT_HYPOTHESIS:0-1-2-3:evaluate-as:SINGLE_ZIGZAG,nvda-post-p005:1mo:children:nvda-post-p005:1mo:internals:nvda-post-p005:1mo:families:nvda-post-p005:1mo:generation:THREE_SEGMENT_HYPOTHESIS:66-67-68-69:evaluate-as:SINGLE_ZIGZAG:child:2:neutral-children:THREE_SEGMENT_HYPOTHESIS:0-1-2-3,b9eab008f63b199dfb73ea35d5bc2e1b206ece591e89d272ee5ebb9eeb0c4834,1mo,child,1wk,SINGLE_ZIGZAG,NOT_ASSIGNED,CURRENT_SUPPLIED_SCOPE_REVIEWED,,nvda-post-p005:1mo:internals:nvda-post-p005:1mo:families:nvda-post-p005:1mo:generation:THREE_SEGMENT_HYPOTHESIS:66-67-68-69:evaluate-as:SINGLE_ZIGZAG:child:2,nvda-post-p005:1mo:families:nvda-post-p005:1mo:generation:THREE_SEGMENT_HYPOTHESIS:66-67-68-69:evaluate-as:SINGLE_ZIGZAG,,,,b6695aa0b692a8bb16c8c76e31e16abbe78598c3fcfc9d3e34d31be7ca71dc4e,[]
H0013,C0006,nvda-post-p005:1mo:child-families:child:5:nvda-post-p005:1mo:children:nvda-post-p005:1mo:internals:nvda-post-p005:1mo:families:nvda-post-p005:1mo:generation:THREE_SEGMENT_HYPOTHESIS:66-67-68-69:evaluate-as:SINGLE_ZIGZAG:child:2:neutral-children:THREE_SEGMENT_HYPOTHESIS:0-1-2-3:evaluate-as:FLAT,nvda-post-p005:1mo:children:nvda-post-p005:1mo:internals:nvda-post-p005:1mo:families:nvda-post-p005:1mo:generation:THREE_SEGMENT_HYPOTHESIS:66-67-68-69:evaluate-as:SINGLE_ZIGZAG:child:2:neutral-children:THREE_SEGMENT_HYPOTHESIS:0-1-2-3,b9eab008f63b199dfb73ea35d5bc2e1b206ece591e89d272ee5ebb9eeb0c4834,1mo,child,1wk,FLAT,NOT_ASSIGNED,CURRENT_SUPPLIED_SCOPE_REVIEWED,,nvda-post-p005:1mo:internals:nvda-post-p005:1mo:families:nvda-post-p005:1mo:generation:THREE_SEGMENT_HYPOTHESIS:66-67-68-69:evaluate-as:SINGLE_ZIGZAG:child:2,nvda-post-p005:1mo:families:nvda-post-p005:1mo:generation:THREE_SEGMENT_HYPOTHESIS:66-67-68-69:evaluate-as:SINGLE_ZIGZAG,,,,b6695aa0b692a8bb16c8c76e31e16abbe78598c3fcfc9d3e34d31be7ca71dc4e,[]
H0014,C0007,nvda-post-p005:1mo:child-families:child:5:nvda-post-p005:1mo:children:nvda-post-p005:1mo:internals:nvda-post-p005:1mo:families:nvda-post-p005:1mo:generation:THREE_SEGMENT_HYPOTHESIS:66-67-68-69:evaluate-as:SINGLE_ZIGZAG:child:2:neutral-children:THREE_SEGMENT_HYPOTHESIS:1-2-3-4:evaluate-as:SINGLE_ZIGZAG,nvda-post-p005:1mo:children:nvda-post-p005:1mo:internals:nvda-post-p005:1mo:families:nvda-post-p005:1mo:generation:THREE_SEGMENT_HYPOTHESIS:66-67-68-69:evaluate-as:SINGLE_ZIGZAG:child:2:neutral-children:THREE_SEGMENT_HYPOTHESIS:1-2-3-4,f623446b2c6f9c596aaba5eac2af873f38be394310b3a7ed4d804b0d8b0115f8,1mo,child,1wk,SINGLE_ZIGZAG,NOT_ASSIGNED,CURRENT_SUPPLIED_SCOPE_REVIEWED,,nvda-post-p005:1mo:internals:nvda-post-p005:1mo:families:nvda-post-p005:1mo:generation:THREE_SEGMENT_HYPOTHESIS:66-67-68-69:evaluate-as:SINGLE_ZIGZAG:child:2,nvda-post-p005:1mo:families:nvda-post-p005:1mo:generation:THREE_SEGMENT_HYPOTHESIS:66-67-68-69:evaluate-as:SINGLE_ZIGZAG,,,,b6695aa0b692a8bb16c8c76e31e16abbe78598c3fcfc9d3e34d31be7ca71dc4e,[]
H0015,C0007,nvda-post-p005:1mo:child-families:child:5:nvda-post-p005:1mo:children:nvda-post-p005:1mo:internals:nvda-post-p005:1mo:families:nvda-post-p005:1mo:generation:THREE_SEGMENT_HYPOTHESIS:66-67-68-69:evaluate-as:SINGLE_ZIGZAG:child:2:neutral-children:THREE_SEGMENT_HYPOTHESIS:1-2-3-4:evaluate-as:FLAT,nvda-post-p005:1mo:children:nvda-post-p005:1mo:internals:nvda-post-p005:1mo:families:nvda-post-p005:1mo:generation:THREE_SEGMENT_HYPOTHESIS:66-67-68-69:evaluate-as:SINGLE_ZIGZAG:child:2:neutral-children:THREE_SEGMENT_HYPOTHESIS:1-2-3-4,f623446b2c6f9c596aaba5eac2af873f38be394310b3a7ed4d804b0d8b0115f8,1mo,child,1wk,FLAT,NOT_ASSIGNED,CURRENT_SUPPLIED_SCOPE_REVIEWED,,nvda-post-p005:1mo:internals:nvda-post-p005:1mo:families:nvda-post-p005:1mo:generation:THREE_SEGMENT_HYPOTHESIS:66-67-68-69:evaluate-as:SINGLE_ZIGZAG:child:2,nvda-post-p005:1mo:families:nvda-post-p005:1mo:generation:THREE_SEGMENT_HYPOTHESIS:66-67-68-69:evaluate-as:SINGLE_ZIGZAG,,,,b6695aa0b692a8bb16c8c76e31e16abbe78598c3fcfc9d3e34d31be7ca71dc4e,[]
H0016,C0008,nvda-post-p005:1mo:child-families:child:5:nvda-post-p005:1mo:children:nvda-post-p005:1mo:internals:nvda-post-p005:1mo:families:nvda-post-p005:1mo:generation:THREE_SEGMENT_HYPOTHESIS:66-67-68-69:evaluate-as:SINGLE_ZIGZAG:child:2:neutral-children:THREE_SEGMENT_HYPOTHESIS:2-3-4-5:evaluate-as:SINGLE_ZIGZAG,nvda-post-p005:1mo:children:nvda-post-p005:1mo:internals:nvda-post-p005:1mo:families:nvda-post-p005:1mo:generation:THREE_SEGMENT_HYPOTHESIS:66-67-68-69:evaluate-as:SINGLE_ZIGZAG:child:2:neutral-children:THREE_SEGMENT_HYPOTHESIS:2-3-4-5,99b8dc6e6c5cf65a8d653afe9b6135bec8da1c6394b626f994c5fcaff770d846,1mo,child,1wk,SINGLE_ZIGZAG,NOT_ASSIGNED,CURRENT_SUPPLIED_SCOPE_REVIEWED,,nvda-post-p005:1mo:internals:nvda-post-p005:1mo:families:nvda-post-p005:1mo:generation:THREE_SEGMENT_HYPOTHESIS:66-67-68-69:evaluate-as:SINGLE_ZIGZAG:child:2,nvda-post-p005:1mo:families:nvda-post-p005:1mo:generation:THREE_SEGMENT_HYPOTHESIS:66-67-68-69:evaluate-as:SINGLE_ZIGZAG,,,,b6695aa0b692a8bb16c8c76e31e16abbe78598c3fcfc9d3e34d31be7ca71dc4e,[]
H0017,C0008,nvda-post-p005:1mo:child-families:child:5:nvda-post-p005:1mo:children:nvda-post-p005:1mo:internals:nvda-post-p005:1mo:families:nvda-post-p005:1mo:generation:THREE_SEGMENT_HYPOTHESIS:66-67-68-69:evaluate-as:SINGLE_ZIGZAG:child:2:neutral-children:THREE_SEGMENT_HYPOTHESIS:2-3-4-5:evaluate-as:FLAT,nvda-post-p005:1mo:children:nvda-post-p005:1mo:internals:nvda-post-p005:1mo:families:nvda-post-p005:1mo:generation:THREE_SEGMENT_HYPOTHESIS:66-67-68-69:evaluate-as:SINGLE_ZIGZAG:child:2:neutral-children:THREE_SEGMENT_HYPOTHESIS:2-3-4-5,99b8dc6e6c5cf65a8d653afe9b6135bec8da1c6394b626f994c5fcaff770d846,1mo,child,1wk,FLAT,NOT_ASSIGNED,CURRENT_SUPPLIED_SCOPE_REVIEWED,,nvda-post-p005:1mo:internals:nvda-post-p005:1mo:families:nvda-post-p005:1mo:generation:THREE_SEGMENT_HYPOTHESIS:66-67-68-69:evaluate-as:SINGLE_ZIGZAG:child:2,nvda-post-p005:1mo:families:nvda-post-p005:1mo:generation:THREE_SEGMENT_HYPOTHESIS:66-67-68-69:evaluate-as:SINGLE_ZIGZAG,,,,b6695aa0b692a8bb16c8c76e31e16abbe78598c3fcfc9d3e34d31be7ca71dc4e,[]
H0018,C0009,nvda-post-p005:1mo:child-families:child:6:nvda-post-p005:1mo:children:nvda-post-p005:1mo:internals:nvda-post-p005:1mo:families:nvda-post-p005:1mo:generation:THREE_SEGMENT_HYPOTHESIS:66-67-68-69:evaluate-as:FLAT:child:2:neutral-children:THREE_SEGMENT_HYPOTHESIS:0-1-2-3:evaluate-as:SINGLE_ZIGZAG,nvda-post-p005:1mo:children:nvda-post-p005:1mo:internals:nvda-post-p005:1mo:families:nvda-post-p005:1mo:generation:THREE_SEGMENT_HYPOTHESIS:66-67-68-69:evaluate-as:FLAT:child:2:neutral-children:THREE_SEGMENT_HYPOTHESIS:0-1-2-3,b9eab008f63b199dfb73ea35d5bc2e1b206ece591e89d272ee5ebb9eeb0c4834,1mo,child,1wk,SINGLE_ZIGZAG,NOT_ASSIGNED,CURRENT_SUPPLIED_SCOPE_REVIEWED,,nvda-post-p005:1mo:internals:nvda-post-p005:1mo:families:nvda-post-p005:1mo:generation:THREE_SEGMENT_HYPOTHESIS:66-67-68-69:evaluate-as:FLAT:child:2,nvda-post-p005:1mo:families:nvda-post-p005:1mo:generation:THREE_SEGMENT_HYPOTHESIS:66-67-68-69:evaluate-as:FLAT,,,,b6695aa0b692a8bb16c8c76e31e16abbe78598c3fcfc9d3e34d31be7ca71dc4e,[]
H0019,C0009,nvda-post-p005:1mo:child-families:child:6:nvda-post-p005:1mo:children:nvda-post-p005:1mo:internals:nvda-post-p005:1mo:families:nvda-post-p005:1mo:generation:THREE_SEGMENT_HYPOTHESIS:66-67-68-69:evaluate-as:FLAT:child:2:neutral-children:THREE_SEGMENT_HYPOTHESIS:0-1-2-3:evaluate-as:FLAT,nvda-post-p005:1mo:children:nvda-post-p005:1mo:internals:nvda-post-p005:1mo:families:nvda-post-p005:1mo:generation:THREE_SEGMENT_HYPOTHESIS:66-67-68-69:evaluate-as:FLAT:child:2:neutral-children:THREE_SEGMENT_HYPOTHESIS:0-1-2-3,b9eab008f63b199dfb73ea35d5bc2e1b206ece591e89d272ee5ebb9eeb0c4834,1mo,child,1wk,FLAT,NOT_ASSIGNED,CURRENT_SUPPLIED_SCOPE_REVIEWED,,nvda-post-p005:1mo:internals:nvda-post-p005:1mo:families:nvda-post-p005:1mo:generation:THREE_SEGMENT_HYPOTHESIS:66-67-68-69:evaluate-as:FLAT:child:2,nvda-post-p005:1mo:families:nvda-post-p005:1mo:generation:THREE_SEGMENT_HYPOTHESIS:66-67-68-69:evaluate-as:FLAT,,,,b6695aa0b692a8bb16c8c76e31e16abbe78598c3fcfc9d3e34d31be7ca71dc4e,[]
H0020,C0010,nvda-post-p005:1mo:child-families:child:6:nvda-post-p005:1mo:children:nvda-post-p005:1mo:internals:nvda-post-p005:1mo:families:nvda-post-p005:1mo:generation:THREE_SEGMENT_HYPOTHESIS:66-67-68-69:evaluate-as:FLAT:child:2:neutral-children:THREE_SEGMENT_HYPOTHESIS:1-2-3-4:evaluate-as:SINGLE_ZIGZAG,nvda-post-p005:1mo:children:nvda-post-p005:1mo:internals:nvda-post-p005:1mo:families:nvda-post-p005:1mo:generation:THREE_SEGMENT_HYPOTHESIS:66-67-68-69:evaluate-as:FLAT:child:2:neutral-children:THREE_SEGMENT_HYPOTHESIS:1-2-3-4,f623446b2c6f9c596aaba5eac2af873f38be394310b3a7ed4d804b0d8b0115f8,1mo,child,1wk,SINGLE_ZIGZAG,NOT_ASSIGNED,CURRENT_SUPPLIED_SCOPE_REVIEWED,,nvda-post-p005:1mo:internals:nvda-post-p005:1mo:families:nvda-post-p005:1mo:generation:THREE_SEGMENT_HYPOTHESIS:66-67-68-69:evaluate-as:FLAT:child:2,nvda-post-p005:1mo:families:nvda-post-p005:1mo:generation:THREE_SEGMENT_HYPOTHESIS:66-67-68-69:evaluate-as:FLAT,,,,b6695aa0b692a8bb16c8c76e31e16abbe78598c3fcfc9d3e34d31be7ca71dc4e,[]
H0021,C0010,nvda-post-p005:1mo:child-families:child:6:nvda-post-p005:1mo:children:nvda-post-p005:1mo:internals:nvda-post-p005:1mo:families:nvda-post-p005:1mo:generation:THREE_SEGMENT_HYPOTHESIS:66-67-68-69:evaluate-as:FLAT:child:2:neutral-children:THREE_SEGMENT_HYPOTHESIS:1-2-3-4:evaluate-as:FLAT,nvda-post-p005:1mo:children:nvda-post-p005:1mo:internals:nvda-post-p005:1mo:families:nvda-post-p005:1mo:generation:THREE_SEGMENT_HYPOTHESIS:66-67-68-69:evaluate-as:FLAT:child:2:neutral-children:THREE_SEGMENT_HYPOTHESIS:1-2-3-4,f623446b2c6f9c596aaba5eac2af873f38be394310b3a7ed4d804b0d8b0115f8,1mo,child,1wk,FLAT,NOT_ASSIGNED,CURRENT_SUPPLIED_SCOPE_REVIEWED,,nvda-post-p005:1mo:internals:nvda-post-p005:1mo:families:nvda-post-p005:1mo:generation:THREE_SEGMENT_HYPOTHESIS:66-67-68-69:evaluate-as:FLAT:child:2,nvda-post-p005:1mo:families:nvda-post-p005:1mo:generation:THREE_SEGMENT_HYPOTHESIS:66-67-68-69:evaluate-as:FLAT,,,,b6695aa0b692a8bb16c8c76e31e16abbe78598c3fcfc9d3e34d31be7ca71dc4e,[]
H0022,C0011,nvda-post-p005:1mo:child-families:child:6:nvda-post-p005:1mo:children:nvda-post-p005:1mo:internals:nvda-post-p005:1mo:families:nvda-post-p005:1mo:generation:THREE_SEGMENT_HYPOTHESIS:66-67-68-69:evaluate-as:FLAT:child:2:neutral-children:THREE_SEGMENT_HYPOTHESIS:2-3-4-5:evaluate-as:SINGLE_ZIGZAG,nvda-post-p005:1mo:children:nvda-post-p005:1mo:internals:nvda-post-p005:1mo:families:nvda-post-p005:1mo:generation:THREE_SEGMENT_HYPOTHESIS:66-67-68-69:evaluate-as:FLAT:child:2:neutral-children:THREE_SEGMENT_HYPOTHESIS:2-3-4-5,99b8dc6e6c5cf65a8d653afe9b6135bec8da1c6394b626f994c5fcaff770d846,1mo,child,1wk,SINGLE_ZIGZAG,NOT_ASSIGNED,CURRENT_SUPPLIED_SCOPE_REVIEWED,,nvda-post-p005:1mo:internals:nvda-post-p005:1mo:families:nvda-post-p005:1mo:generation:THREE_SEGMENT_HYPOTHESIS:66-67-68-69:evaluate-as:FLAT:child:2,nvda-post-p005:1mo:families:nvda-post-p005:1mo:generation:THREE_SEGMENT_HYPOTHESIS:66-67-68-69:evaluate-as:FLAT,,,,b6695aa0b692a8bb16c8c76e31e16abbe78598c3fcfc9d3e34d31be7ca71dc4e,[]
H0023,C0011,nvda-post-p005:1mo:child-families:child:6:nvda-post-p005:1mo:children:nvda-post-p005:1mo:internals:nvda-post-p005:1mo:families:nvda-post-p005:1mo:generation:THREE_SEGMENT_HYPOTHESIS:66-67-68-69:evaluate-as:FLAT:child:2:neutral-children:THREE_SEGMENT_HYPOTHESIS:2-3-4-5:evaluate-as:FLAT,nvda-post-p005:1mo:children:nvda-post-p005:1mo:internals:nvda-post-p005:1mo:families:nvda-post-p005:1mo:generation:THREE_SEGMENT_HYPOTHESIS:66-67-68-69:evaluate-as:FLAT:child:2:neutral-children:THREE_SEGMENT_HYPOTHESIS:2-3-4-5,99b8dc6e6c5cf65a8d653afe9b6135bec8da1c6394b626f994c5fcaff770d846,1mo,child,1wk,FLAT,NOT_ASSIGNED,CURRENT_SUPPLIED_SCOPE_REVIEWED,,nvda-post-p005:1mo:internals:nvda-post-p005:1mo:families:nvda-post-p005:1mo:generation:THREE_SEGMENT_HYPOTHESIS:66-67-68-69:evaluate-as:FLAT:child:2,nvda-post-p005:1mo:families:nvda-post-p005:1mo:generation:THREE_SEGMENT_HYPOTHESIS:66-67-68-69:evaluate-as:FLAT,,,,b6695aa0b692a8bb16c8c76e31e16abbe78598c3fcfc9d3e34d31be7ca71dc4e,[]
H0024,C0012,nvda-post-p005:1mo:child-families:child:9:nvda-post-p005:1mo:children:nvda-post-p005:1mo:internals:nvda-post-p005:1mo:families:nvda-post-p005:1mo:generation:THREE_SEGMENT_HYPOTHESIS:67-68-69-70:evaluate-as:FLAT:child:1:neutral-children:THREE_SEGMENT_HYPOTHESIS:0-1-2-3:evaluate-as:SINGLE_ZIGZAG,nvda-post-p005:1mo:children:nvda-post-p005:1mo:internals:nvda-post-p005:1mo:families:nvda-post-p005:1mo:generation:THREE_SEGMENT_HYPOTHESIS:67-68-69-70:evaluate-as:FLAT:child:1:neutral-children:THREE_SEGMENT_HYPOTHESIS:0-1-2-3,b9eab008f63b199dfb73ea35d5bc2e1b206ece591e89d272ee5ebb9eeb0c4834,1mo,child,1wk,SINGLE_ZIGZAG,NOT_ASSIGNED,CURRENT_SUPPLIED_SCOPE_REVIEWED,,nvda-post-p005:1mo:internals:nvda-post-p005:1mo:families:nvda-post-p005:1mo:generation:THREE_SEGMENT_HYPOTHESIS:67-68-69-70:evaluate-as:FLAT:child:1,nvda-post-p005:1mo:families:nvda-post-p005:1mo:generation:THREE_SEGMENT_HYPOTHESIS:67-68-69-70:evaluate-as:FLAT,,,,b6695aa0b692a8bb16c8c76e31e16abbe78598c3fcfc9d3e34d31be7ca71dc4e,[]
H0025,C0012,nvda-post-p005:1mo:child-families:child:9:nvda-post-p005:1mo:children:nvda-post-p005:1mo:internals:nvda-post-p005:1mo:families:nvda-post-p005:1mo:generation:THREE_SEGMENT_HYPOTHESIS:67-68-69-70:evaluate-as:FLAT:child:1:neutral-children:THREE_SEGMENT_HYPOTHESIS:0-1-2-3:evaluate-as:FLAT,nvda-post-p005:1mo:children:nvda-post-p005:1mo:internals:nvda-post-p005:1mo:families:nvda-post-p005:1mo:generation:THREE_SEGMENT_HYPOTHESIS:67-68-69-70:evaluate-as:FLAT:child:1:neutral-children:THREE_SEGMENT_HYPOTHESIS:0-1-2-3,b9eab008f63b199dfb73ea35d5bc2e1b206ece591e89d272ee5ebb9eeb0c4834,1mo,child,1wk,FLAT,NOT_ASSIGNED,CURRENT_SUPPLIED_SCOPE_REVIEWED,,nvda-post-p005:1mo:internals:nvda-post-p005:1mo:families:nvda-post-p005:1mo:generation:THREE_SEGMENT_HYPOTHESIS:67-68-69-70:evaluate-as:FLAT:child:1,nvda-post-p005:1mo:families:nvda-post-p005:1mo:generation:THREE_SEGMENT_HYPOTHESIS:67-68-69-70:evaluate-as:FLAT,,,,b6695aa0b692a8bb16c8c76e31e16abbe78598c3fcfc9d3e34d31be7ca71dc4e,[]
